Australian Grand Prix 2018,Bahrain Grand Prix 2018,Chinese Grand Prix 2018,Azerbaijan Grand Prix 2018,Spanish Grand Prix 2018,Monaco Grand Prix 2018,Canadian Grand Prix 2018,French Grand Prix 2018,Austrian Grand Prix 2018,British Grand Prix 2018,German Grand Prix 2018,Hungarian Grand Prix 2018,Belgian Grand Prix 2018,Italian Grand Prix 2018,Singapore Grand Prix 2018,Russian Grand Prix 2018,Japanese Grand Prix 2018,United States Grand Prix 2018,Mexican Grand Prix 2018,Brazilian Grand Prix 2018,Abu Dhabi Grand Prix 2018
VET,VET,RIC,HAM,HAM,RIC,VET,HAM,VER,VET,HAM,HAM,VET,HAM,HAM,HAM,HAM,RAI,VER,HAM,HAM
HAM,BOT,BOT,RAI,BOT,VET,BOT,VER,RAI,HAM,BOT,VET,HAM,RAI,VER,BOT,BOT,VER,VET,VER,VET
RAI,HAM,RAI,PER,VER,HAM,VER,RAI,VET,RAI,RAI,RAI,VER,BOT,VET,VET,VER,HAM,RAI,RAI,VER
RIC,GAS,HAM,VET,VET,RAI,RIC,RIC,GRO,BOT,VER,RIC,BOT,VET,BOT,RAI,RIC,VET,HAM,RIC,RIC
ALO,MAG,VER,SAI,RIC,BOT,HAM,VET,MAG,RIC,HUL,BOT,PER,VER,RAI,VER,RAI,BOT,BOT,BOT,BOT
VER,HUL,HUL,LEC,MAG,OCO,RAI,MAG,OCO,HUL,GRO,GAS,OCO,OCO,RIC,RIC,VET,HUL,HUL,VET,SAI
HUL,ALO,ALO,ALO,SAI,GAS,HUL,BOT,PER,OCO,PER,MAG,GRO,PER,ALO,LEC,PER,SAI,LEC,LEC,LEC
BOT,VAN,VET,STR,ALO,HUL,SAI,SAI,ALO,ALO,OCO,ALO,MAG,SAI,SAI,MAG,GRO,PER,VAN,GRO,PER
VAN,ERI,SAI,VAN,PER,VER,OCO,HUL,LEC,MAG,ERI,SAI,GAS,STR,LEC,OCO,OCO,HAR,ERI,MAG,GRO
SAI,OCO,MAG,HAR,LEC,SAI,LEC,LEC,ERI,PER,HAR,GRO,ERI,SIR,HUL,PER,SAI,ERI,GAS,PER,MAG
PER,SAI,OCO,ERI,STR,ERI,GAS,GRO,GAS,VAN,MAG,HAR,SAI,LEC,ERI,GRO,GAS,VAN,OCO,HAR,ALO
OCO,LEC,PER,GAS,HAR,PER,GRO,VAN,SAI,STR,SAI,HUL,SIR,VAN,VAN,HUL,ERI,GAS,STR,SAI,HAR
LEC,GRO,VAN,MAG,ERI,MAG,MAG,ERI,SIR,GAS,VAN,OCO,STR,HUL,GAS,ERI,HAR,SIR,SIR,GAS,STR
STR,STR,STR,BOT,SIR,VAN,PER,HAR,STR,SIR,GAS,PER,HAR,GAS,STR,ALO,ALO,STR,HAR,VAN,VAN
HAR,SIR,SIR,GRO,VAN,GRO,ERI,SIR,VAN,VER,LEC,ERI,VAN,ERI,GRO,STR,VAN,LEC,MAG,OCO,SIR
GRO,PER,ERI,VER,OCO,SIR,VAN,ALO,HAM,GRO,ALO,SIR,RIC,MAG,PER,VAN,SIR,RIC,GRO,SIR,GAS
MAG,HAR,GRO,RIC,RAI,STR,SIR,STR,HAR,SAI,STR,STR,RAI,RIC,HAR,SAI,STR,GRO,RIC,ALO,OCO
GAS,RAI,GAS,HUL,GRO,LEC,ALO,PER,RIC,ERI,VET,VAN,LEC,ALO,MAG,SIR,LEC,ALO,PER,STR,ERI
ERI,VER,LEC,OCO,GAS,HAR,HAR,OCO,BOT,LEC,SIR,VER,ALO,HAR,SIR,GAS,HUL,OCO,SAI,HUL,RAI
SIR,RIC,HAR,SIR,HUL,ALO,STR,GAS,HUL,HAR,RIC,LEC,HUL,GRO,OCO,HAR,MAG,MAG,ALO,ERI,HUL
