Austrian Grand Prix 2020,Styrian Grand Prix 2020,Hungarian Grand Prix 2020,British Grand Prix 2020,70th Anniversary Grand Prix 2020,Spanish Grand Prix 2020,Belgian Grand Prix 2020,Italian Grand Prix 2020,Tuscan Grand Prix 2020,Russian Grand Prix 2020,Eifel Grand Prix 2020,Portuguese Grand Prix 2020,Emilia Romagna Grand Prix 2020,Turkish Grand Prix 2020,Bahrain Grand Prix 2020,Sakhir Grand Prix 2020,Abu Dhabi Grand Prix 2020
BOT,HAM,HAM,HAM,VER,HAM,HAM,GAS,HAM,BOT,HAM,HAM,HAM,HAM,HAM,PER,N/A
LEC,BOT,VER,VER,HAM,VER,BOT,SAI,BOT,VER,VER,BOT,BOT,PER,VER,OCO,N/A
NOR,VER,BOT,LEC,BOT,BOT,VER,STR,ALB,HAM,RIC,VER,RIC,VET,ALB,STR,N/A
HAM,ALB,STR,RIC,LEC,STR,RIC,NOR,RIC,PER,PER,LEC,KVY,LEC,NOR,SAI,N/A
SAI,NOR,ALB,NOR,ALB,PER,OCO,BOT,PER,RIC,SAI,GAS,LEC,SAI,SAI,RIC,N/A
PER,PER,VET,OCO,STR,SAI,ALB,RIC,NOR,LEC,GAS,SAI,PER,VER,GAS,ALB,N/A
GAS,STR,PER,GAS,HUL,VET,NOR,HAM,KVY,OCO,LEC,PER,SAI,ALB,RIC,KVY,N/A
OCO,RIC,RIC,ALB,OCO,ALB,GAS,OCO,LEC,KVY,HUL,OCO,NOR,NOR,BOT,BOT,N/A
GIO,SAI,SAI,STR,NOR,GAS,STR,KVY,RAI,GAS,GRO,RIC,RAI,STR,OCO,RUS,N/A
VET,KVY,MAG,VET,KVY,NOR,PER,PER,VET,ALB,GIO,VET,GIO,RIC,LEC,NOR,N/A
LAT,RAI,LEC,BOT,GAS,RIC,KVY,LAT,RUS,GIO,VET,RAI,LAT,OCO,KVY,GAS,N/A
KVY,MAG,KVY,RUS,VET,KVY,RAI,GRO,GRO,MAG,RAI,ALB,VET,KVY,RUS,VET,N/A
ALB,GRO,NOR,SAI,SAI,OCO,VET,RAI,STR,VET,MAG,NOR,STR,GAS,VET,GIO,N/A
RAI,GIO,OCO,GIO,RIC,RAI,LEC,RUS,OCO,RAI,LAT,RUS,GRO,BOT,LAT,RAI,N/A
RUS,GAS,RAI,LAT,RAI,MAG,GRO,ALB,LAT,NOR,KVY,GIO,ALB,RAI,RAI,MAG,N/A
GRO,RUS,GRO,GRO,GRO,GIO,LAT,GIO,MAG,LAT,NOR,MAG,RUS,RUS,GIO,AIT,N/A
MAG,LAT,GIO,RAI,GIO,RUS,MAG,VER,GIO,GRO,ALB,GRO,VER,MAG,MAG,FIT,N/A
STR,OCO,RUS,KVY,RUS,LAT,GIO,LEC,SAI,RUS,OCO,LAT,MAG,GRO,PER,LAT,N/A
RIC,LEC,LAT,MAG,LAT,GRO,RUS,MAG,VER,SAI,BOT,KVY,OCO,LAT,STR,VER,N/A
VER,VET,GAS,HUL,MAG,LEC,SAI,VET,GAS,STR,RUS,STR,GAS,GIO,GRO,LEC,N/A
